HEROP_ID,FqhcCtTmDr,FqhcAvTmDr,FqhcTmDrP,HospCtTmDr,HospAvTmDr,HospTmDrP,RxCtTmDr,RxAvTmDr,RxTmDrP,MhCtTmDr,MhAvTmDr,MhTmDrP,SutpCtTmDr,SutpAvTmDr,SutpTmDrP,OtpCtTmDr,OtpAvTmDr,OtpTmDrP,DrgRlDth,OpRxRt20,OdMortRt14,OdMortRt15,OdMortRt16,OdMortRt17,OdMortRt18,OdMortRt19,OdMortRt20,OdMortRtAv
040US01,972,17.21,0.82,1024,15.64,0.87,1150,6.29,0.97,987,17.56,0.84,956,18.56,0.81,658,33.28,0.56,6405.0,80.4,15.2,15.7,16.2,18.0,16.6,16.3,22.3,16.56
040US02,157,15.31,0.93,131,72.47,0.78,128,76.08,0.77,144,48.22,0.86,144,73.34,0.86,90,37.31,0.54,,36.1,16.8,16.0,16.8,20.2,14.6,17.8,22.0,17.08
040US04,1434,12.04,0.94,1386,12.88,0.91,1444,7.0,0.94,1430,10.1,0.93,1434,10.14,0.94,1309,17.44,0.85,12166.0,40.5,18.2,19.0,20.3,22.2,23.8,26.8,35.8,22.42
040US05,563,15.88,0.82,564,16.45,0.82,652,6.95,0.95,593,14.18,0.86,576,15.47,0.84,244,50.94,0.36,3915.0,75.8,12.6,13.8,14.0,15.5,15.7,13.5,19.1,14.5
040US06,7881,6.61,0.98,7835,8.38,0.97,7971,3.15,0.99,7779,8.3,0.97,7866,7.06,0.98,7448,13.54,0.92,43494.0,28.5,11.1,11.3,11.2,11.7,12.8,15.0,21.8,12.4
040US08,1146,12.35,0.92,1145,12.91,0.92,1205,6.04,0.96,1180,10.42,0.94,1178,9.37,0.94,1007,21.32,0.81,8296.0,37.5,16.3,15.4,16.6,17.6,16.8,18.0,24.9,16.88
040US09,829,6.41,1.0,817,10.14,0.98,833,3.14,1.0,832,6.83,1.0,833,7.3,1.0,821,10.27,0.99,3999.0,37.0,17.6,22.1,27.4,30.9,30.7,34.7,39.1,29.16
040US10,217,10.43,1.0,211,11.45,0.97,218,2.92,1.0,212,9.48,0.97,218,8.63,1.0,218,10.2,1.0,1360.0,45.2,20.9,22.0,30.8,37.0,43.8,48.0,47.3,36.32
040US11,179,2.17,1.0,179,4.08,1.0,179,1.3,1.0,179,9.24,1.0,179,2.7,1.0,179,5.62,1.0,861.0,32.6,19.4,14.7,14.5,15.2,22.8,43.2,58.1,22.08
040US12,4129,10.37,0.97,4069,11.02,0.97,4212,3.47,0.99,4016,11.6,0.95,4071,10.22,0.96,3420,20.57,0.81,27974.0,43.4,13.2,16.2,23.7,25.1,13.2,25.5,35.0,20.74
040US13,1834,14.0,0.93,1840,13.98,0.94,1946,5.38,0.99,1760,14.88,0.89,1751,13.89,0.89,1559,21.0,0.79,11084.0,53.9,11.9,12.7,13.3,14.7,14.3,13.1,18.0,13.62
040US15,344,10.6,0.98,309,12.24,0.93,342,12.24,0.97,305,11.84,0.87,345,10.4,0.98,226,28.33,0.65,,27.3,10.9,11.3,12.8,13.8,14.6,15.9,18.3,13.68
040US16,249,17.12,0.84,250,16.72,0.84,262,9.59,0.88,244,15.4,0.82,243,16.25,0.82,88,43.05,0.3,2252.0,49.9,13.7,14.2,15.2,14.4,21.3,15.1,15.9,16.04
040US17,2861,10.48,0.92,2980,9.63,0.95,3090,3.65,0.99,2941,9.33,0.94,3005,7.46,0.96,2550,17.71,0.82,10233.0,40.2,13.1,14.1,18.9,21.6,25.6,21.9,28.1,20.42
040US18,1320,13.69,0.87,1443,11.14,0.96,1503,5.34,0.99,1466,10.17,0.97,1458,9.59,0.96,973,25.56,0.64,10632.0,56.9,18.2,19.5,24.0,29.4,9.6,26.6,36.7,21.82
040US19,542,25.74,0.66,771,12.18,0.93,813,6.33,0.99,676,15.7,0.82,698,14.11,0.85,265,49.93,0.32,3028.0,40.2,8.8,10.3,10.6,11.5,12.4,11.5,14.3,11.26
040US20,607,18.79,0.79,715,10.35,0.93,744,5.59,0.97,659,14.25,0.86,648,14.33,0.84,393,33.75,0.51,3131.0,59.8,11.7,11.8,11.1,11.8,30.9,14.3,17.4,15.98
040US21,1028,12.45,0.92,1016,14.2,0.91,1094,6.7,0.98,1051,12.13,0.94,1067,10.12,0.96,668,28.45,0.6,9931.0,68.2,24.7,29.9,33.5,37.2,25.4,32.5,49.2,31.7
040US22,1062,10.35,0.93,1086,10.37,0.95,1105,5.66,0.96,1017,13.29,0.89,990,14.53,0.86,686,32.94,0.6,7024.0,68.3,16.9,19.0,21.8,24.5,27.9,28.3,42.7,24.3
040US23,289,17.01,0.81,280,23.3,0.79,326,14.38,0.91,296,20.09,0.83,303,18.58,0.85,167,39.97,0.47,2004.0,40.3,16.8,21.2,28.7,34.4,37.2,29.9,39.7,30.28
040US24,1338,11.32,0.95,1364,11.12,0.98,1399,3.49,1.0,1380,8.43,0.98,1384,7.37,0.98,1334,11.84,0.95,4775.0,39.5,17.4,20.9,33.2,36.3,32.8,38.2,44.6,32.28
040US25,1460,8.92,0.99,1449,8.09,0.98,1475,2.65,1.0,1461,6.78,0.99,1463,6.5,0.99,1443,10.18,0.98,8099.0,33.3,19.0,25.7,33.0,31.8,26.6,32.1,33.9,29.84
040US26,2495,14.33,0.89,2540,13.52,0.92,2731,5.58,0.97,2544,12.68,0.9,2546,12.16,0.91,2037,24.42,0.73,15268.0,54.4,18.0,20.4,24.4,27.8,11.5,24.4,28.6,21.7
040US27,824,34.81,0.62,1216,13.32,0.91,1287,6.22,0.96,1151,13.83,0.86,1159,12.88,0.87,807,31.78,0.6,5308.0,30.2,9.6,10.6,12.5,13.3,10.8,14.2,19.0,12.28
040US28,571,13.51,0.86,590,14.26,0.89,638,7.46,0.96,567,15.18,0.85,462,22.04,0.7,192,56.06,0.29,3289.0,64.2,11.6,12.3,12.1,12.2,27.5,13.6,21.1,15.54
040US29,1277,12.05,0.92,1213,14.29,0.87,1352,5.72,0.97,1185,14.65,0.85,1246,12.95,0.89,814,33.09,0.58,7414.0,54.4,18.2,17.9,23.6,23.4,12.2,26.9,32.1,20.8
040US30,191,27.71,0.7,208,20.58,0.77,209,18.11,0.77,184,28.61,0.68,197,23.43,0.73,83,51.95,0.31,1611.0,46.1,12.4,13.8,11.7,11.7,7.4,14.1,15.6,11.74
040US31,363,24.3,0.68,505,9.71,0.95,515,5.57,0.97,462,12.45,0.87,459,13.91,0.86,277,25.65,0.52,1605.0,48.0,7.2,6.9,6.4,8.1,21.2,8.7,11.3,10.26
040US32,625,15.98,0.91,651,10.94,0.95,668,5.4,0.97,649,10.92,0.94,651,11.22,0.95,596,15.72,0.87,5583.0,47.4,18.4,20.4,21.7,21.6,35.8,20.1,26.0,23.92
040US33,230,18.86,0.78,266,14.68,0.9,288,7.11,0.98,266,14.8,0.9,276,12.73,0.94,213,25.76,0.72,1647.0,35.2,26.2,34.3,39.0,37.0,33.1,32.0,30.3,35.08
040US34,1996,8.84,0.99,2000,8.12,1.0,2009,1.87,1.0,1993,6.82,0.99,2004,6.05,1.0,1968,10.43,0.98,10145.0,31.8,14.0,16.3,23.2,30.0,26.7,31.7,32.1,25.58
040US35,459,10.25,0.92,417,16.85,0.84,443,11.02,0.89,401,18.6,0.8,438,13.82,0.88,308,31.19,0.62,5423.0,40.5,27.3,25.3,25.2,24.8,18.4,30.2,39.0,24.78
040US36,4670,8.28,0.95,4731,8.58,0.96,4883,2.85,0.99,4753,7.32,0.96,4743,7.27,0.96,4326,14.36,0.88,19128.0,31.9,11.3,13.6,18.0,19.4,22.4,18.2,25.4,18.32
040US37,2007,15.01,0.91,2029,15.07,0.93,2167,5.7,0.99,1988,14.39,0.91,2068,11.74,0.94,1754,19.83,0.8,10340.0,52.8,13.8,15.8,19.7,24.1,10.2,22.3,30.9,18.42
040US38,104,40.01,0.51,149,18.34,0.73,176,11.01,0.86,99,39.35,0.48,120,29.71,0.59,60,48.81,0.29,665.0,36.7,6.3,8.6,10.6,9.2,35.9,11.4,15.6,15.14
040US39,2831,10.82,0.96,2870,10.55,0.97,2947,4.29,1.0,2900,8.39,0.98,2901,9.01,0.98,2465,17.13,0.84,17017.0,47.4,24.6,29.9,39.1,46.3,18.4,38.3,47.2,34.4
040US40,868,16.92,0.83,970,11.04,0.93,1012,5.72,0.97,928,13.16,0.89,909,13.79,0.87,633,29.53,0.61,6544.0,59.3,20.3,19.0,21.5,20.1,12.6,16.7,19.4,17.98
040US41,745,13.63,0.89,737,14.84,0.89,788,6.98,0.94,737,13.93,0.88,761,11.41,0.91,567,29.34,0.68,5923.0,45.6,12.8,12.0,11.9,12.4,36.1,14.0,18.7,17.28
040US42,2915,12.94,0.91,3058,10.68,0.95,3193,3.68,0.99,3072,9.43,0.95,3128,8.65,0.97,2742,16.86,0.85,24689.0,43.1,21.9,26.3,37.9,44.3,30.1,35.6,42.4,34.84
040US44,242,6.31,0.99,241,8.22,0.99,244,2.47,1.0,241,7.95,0.99,242,6.26,0.99,241,8.62,0.99,1578.0,36.5,23.4,28.2,30.8,31.0,22.6,29.5,38.2,28.42
040US45,1048,13.66,0.95,987,15.71,0.89,1086,6.07,0.98,1001,15.65,0.91,1002,15.17,0.91,733,26.03,0.66,6524.0,56.6,14.4,15.7,18.1,20.5,6.9,22.7,34.9,16.78
040US46,125,33.88,0.56,176,17.22,0.79,192,11.6,0.85,140,29.9,0.62,135,31.8,0.6,48,45.81,0.22,674.0,39.9,7.8,8.4,8.4,8.5,27.5,10.5,10.3,12.66
040US47,1297,15.49,0.87,1379,13.84,0.92,1475,6.12,0.99,1390,12.88,0.93,1372,12.61,0.92,885,30.28,0.59,11315.0,68.5,19.5,22.2,24.5,26.6,10.4,31.2,45.6,22.98
040US48,4690,14.3,0.89,4967,10.83,0.95,5153,4.52,0.98,4690,14.47,0.89,4592,14.19,0.87,4065,21.27,0.77,21985.0,37.9,9.7,9.4,10.1,10.5,21.2,10.8,14.1,12.4
040US49,524,14.49,0.89,555,11.44,0.94,566,6.01,0.96,561,7.86,0.95,560,7.5,0.95,491,19.31,0.84,5340.0,48.4,22.4,23.4,22.4,22.3,26.6,18.9,20.5,22.72
040US50,146,17.27,0.79,136,22.38,0.74,170,10.92,0.92,147,18.05,0.8,146,19.26,0.79,98,30.38,0.53,755.0,34.8,13.9,16.7,22.2,23.2,17.1,23.8,32.9,20.6
040US51,1681,14.52,0.88,1719,14.0,0.9,1888,5.28,0.99,1783,11.63,0.93,1743,12.6,0.91,1414,22.41,0.74,6948.0,37.6,11.7,12.4,16.7,17.9,14.8,18.3,26.6,16.02
040US53,1359,10.65,0.93,1334,13.13,0.92,1406,5.97,0.96,1342,11.42,0.92,1364,9.96,0.94,1092,24.18,0.75,9691.0,39.5,13.3,14.7,14.5,15.2,35.4,15.8,22.0,19.12
040US54,458,9.3,0.95,388,17.57,0.8,463,6.84,0.96,412,15.27,0.85,404,16.28,0.83,210,39.98,0.43,5493.0,53.7,35.5,41.5,52.0,57.8,51.5,52.8,81.4,51.12
040US55,1111,17.36,0.79,1294,11.96,0.93,1365,6.05,0.97,1317,10.15,0.93,1260,11.97,0.89,880,29.55,0.63,7226.0,39.6,15.1,15.5,19.3,21.2,19.2,21.1,27.7,19.26
040US56,68,47.57,0.52,107,15.84,0.81,113,11.69,0.86,111,13.71,0.84,107,13.79,0.81,0,86.42,0.0,929.0,46.7,19.4,16.4,17.6,12.2,11.1,14.1,17.4,14.28
